Rule	ID	Consequent	TP	FP	TN	FN	Acc	AUC	CONF	Cov	FPR	G-Mean	GR	GR_Pct	Jacc	SuppDiff	Supp	TNR	TPR	WRAcc	WRAcc_Norm
28	1017273319	1	5	8	12	5	0,566667	0,550000	0,384615	0,433333	0,400000	0,547723	1,250000	1,000000	0,277778	0,100000	0,166667	0,600000	0,500000	0,022222	0,550000	
29	1241085410	1	1	1	19	9	0,666667	0,525000	0,500000	0,066667	0,050000	0,308221	2,000000	1,000000	0,090909	0,050000	0,033333	0,950000	0,100000	0,011111	0,525000	
30	-1286554611	1	0	0	20	10	0,666667	0,500000	0,000000	0,000000	0,000000	0,000000	0,000000	0,000000	0,000000	0,000000	0,000000	1,000000	0,000000	-0,000000	0,500000	
31	-1114515938	1	10	11	9	0	0,633333	0,725000	0,476190	0,700000	0,550000	0,670820	1,818182	1,000000	0,476190	0,450000	0,333333	0,450000	1,000000	0,100000	0,725000	
32	-2028654613	1	5	2	18	5	0,766667	0,700000	0,714286	0,233333	0,100000	0,670820	5,000000	1,000000	0,416667	0,400000	0,166667	0,900000	0,500000	0,088889	0,700000	
33	-962265878	1	10	15	5	0	0,500000	0,625000	0,400000	0,833333	0,750000	0,500000	1,333333	1,000000	0,400000	0,250000	0,333333	0,250000	1,000000	0,055556	0,625000	
34	-1411529285	1	1	3	17	9	0,600000	0,475000	0,250000	0,133333	0,150000	0,291548	0,666667	0,000000	0,076923	-0,050000	0,033333	0,850000	0,100000	-0,011111	0,475000	
35	592978029	1	5	8	12	5	0,566667	0,550000	0,384615	0,433333	0,400000	0,547723	1,250000	1,000000	0,277778	0,100000	0,166667	0,600000	0,500000	0,022222	0,550000	
36	127932076	1	10	8	12	0	0,733333	0,800000	0,555556	0,600000	0,400000	0,774597	2,500000	1,000000	0,555556	0,600000	0,333333	0,600000	1,000000	0,133333	0,800000	
37	-1649373335	1	0	7	13	10	0,433333	0,325000	0,000000	0,233333	0,350000	0,000000	0,000000	0,000000	0,000000	-0,350000	0,000000	0,650000	0,000000	-0,077778	0,325000	
