Rule	ID	Consequent	TP	FP	TN	FN	Acc	AUC	CONF	Cov	FPR	G-Mean	GR	GR_Pct	Jacc	SuppDiff	Supp	TNR	TPR	WRAcc	WRAcc_Norm
28	-464528526	0	35	237	13	14	0.160535	0.383143	0.128676	0.909699	0.948000	0.192725	0.753466	0.000000	0.122378	-0.233714	0.117057	0.052000	0.714286	-0.032024	0.383143	
29	-62244899	0	14	9	241	35	0.852843	0.624857	0.608696	0.076923	0.036000	0.524813	7.936508	1.000000	0.241379	0.249714	0.046823	0.964000	0.285714	0.034217	0.624857	
30	1536528703	0	14	9	241	35	0.852843	0.624857	0.608696	0.076923	0.036000	0.524813	7.936508	1.000000	0.241379	0.249714	0.046823	0.964000	0.285714	0.034217	0.624857	
31	-1286357305	0	14	9	241	35	0.852843	0.624857	0.608696	0.076923	0.036000	0.524813	7.936508	1.000000	0.241379	0.249714	0.046823	0.964000	0.285714	0.034217	0.624857	
32	1183502101	0	1	2	248	48	0.832776	0.506204	0.333333	0.010033	0.008000	0.142285	2.551020	1.000000	0.019608	0.012408	0.003344	0.992000	0.020408	0.001700	0.506204	
33	-1366769242	0	35	237	13	14	0.160535	0.383143	0.128676	0.909699	0.948000	0.192725	0.753466	0.000000	0.122378	-0.233714	0.117057	0.052000	0.714286	-0.032024	0.383143	
34	-1048726304	0	14	9	241	35	0.852843	0.624857	0.608696	0.076923	0.036000	0.524813	7.936508	1.000000	0.241379	0.249714	0.046823	0.964000	0.285714	0.034217	0.624857	
35	-949800043	0	14	9	241	35	0.852843	0.624857	0.608696	0.076923	0.036000	0.524813	7.936508	1.000000	0.241379	0.249714	0.046823	0.964000	0.285714	0.034217	0.624857	
36	-1485074152	0	14	9	241	35	0.852843	0.624857	0.608696	0.076923	0.036000	0.524813	7.936508	1.000000	0.241379	0.249714	0.046823	0.964000	0.285714	0.034217	0.624857	
37	794748526	0	14	9	241	35	0.852843	0.624857	0.608696	0.076923	0.036000	0.524813	7.936508	1.000000	0.241379	0.249714	0.046823	0.964000	0.285714	0.034217	0.624857	
38	-532910112	0	14	9	241	35	0.852843	0.624857	0.608696	0.076923	0.036000	0.524813	7.936508	1.000000	0.241379	0.249714	0.046823	0.964000	0.285714	0.034217	0.624857	
