Rule	ID	Consequent	TP	FP	TN	FN	Acc	AUC	CONF	Cov	FPR	G-Mean	GR	GR_Pct	Jacc	SuppDiff	Supp	TNR	TPR	WRAcc	WRAcc_Norm
33	659438425	0	6	4	39	5	0,833333	0,726216	0,600000	0,185185	0,093023	0,703360	5,863636	1,000000	0,400000	0,452431	0,111111	0,906977	0,545455	0,073388	0,726216	
34	597771559	0	7	4	39	4	0,851852	0,771670	0,636364	0,203704	0,093023	0,759715	6,840909	1,000000	0,466667	0,543340	0,129630	0,906977	0,636364	0,088134	0,771670	
35	-240814380	0	7	4	39	4	0,851852	0,771670	0,636364	0,203704	0,093023	0,759715	6,840909	1,000000	0,466667	0,543340	0,129630	0,906977	0,636364	0,088134	0,771670	
36	-1270115833	0	7	5	38	4	0,833333	0,760042	0,583333	0,222222	0,116279	0,749912	5,472727	1,000000	0,437500	0,520085	0,129630	0,883721	0,636364	0,084362	0,760042	
37	-340811290	0	8	5	38	3	0,851852	0,805497	0,615385	0,240741	0,116279	0,801690	6,254545	1,000000	0,500000	0,610994	0,148148	0,883721	0,727273	0,099108	0,805497	
38	-1727466152	0	6	4	39	5	0,833333	0,726216	0,600000	0,185185	0,093023	0,703360	5,863636	1,000000	0,400000	0,452431	0,111111	0,906977	0,545455	0,073388	0,726216	
39	1442026927	0	7	4	39	4	0,851852	0,771670	0,636364	0,203704	0,093023	0,759715	6,840909	1,000000	0,466667	0,543340	0,129630	0,906977	0,636364	0,088134	0,771670	
40	359264281	0	6	4	39	5	0,833333	0,726216	0,600000	0,185185	0,093023	0,703360	5,863636	1,000000	0,400000	0,452431	0,111111	0,906977	0,545455	0,073388	0,726216	
41	-646113272	0	0	0	43	11	0,796296	0,500000	0,000000	0,000000	0,000000	0,000000	0,000000	0,000000	0,000000	0,000000	0,000000	1,000000	0,000000	-0,000000	0,500000	
42	361282787	0	7	4	39	4	0,851852	0,771670	0,636364	0,203704	0,093023	0,759715	6,840909	1,000000	0,466667	0,543340	0,129630	0,906977	0,636364	0,088134	0,771670	
43	1427394094	0	7	4	39	4	0,851852	0,771670	0,636364	0,203704	0,093023	0,759715	6,840909	1,000000	0,466667	0,543340	0,129630	0,906977	0,636364	0,088134	0,771670	
44	-298187417	0	6	5	38	5	0,814815	0,714588	0,545455	0,203704	0,116279	0,694284	4,690909	1,000000	0,375000	0,429175	0,111111	0,883721	0,545455	0,069616	0,714588	
45	909341823	0	0	0	43	11	0,796296	0,500000	0,000000	0,000000	0,000000	0,000000	0,000000	0,000000	0,000000	0,000000	0,000000	1,000000	0,000000	-0,000000	0,500000	
46	-1128190757	0	7	4	39	4	0,851852	0,771670	0,636364	0,203704	0,093023	0,759715	6,840909	1,000000	0,466667	0,543340	0,129630	0,906977	0,636364	0,088134	0,771670	
47	1332464301	0	7	4	39	4	0,851852	0,771670	0,636364	0,203704	0,093023	0,759715	6,840909	1,000000	0,466667	0,543340	0,129630	0,906977	0,636364	0,088134	0,771670	
48	-1490372312	0	7	5	38	4	0,833333	0,760042	0,583333	0,222222	0,116279	0,749912	5,472727	1,000000	0,437500	0,520085	0,129630	0,883721	0,636364	0,084362	0,760042	
49	-946536628	0	8	5	38	3	0,851852	0,805497	0,615385	0,240741	0,116279	0,801690	6,254545	1,000000	0,500000	0,610994	0,148148	0,883721	0,727273	0,099108	0,805497	
50	1819121084	0	7	4	39	4	0,851852	0,771670	0,636364	0,203704	0,093023	0,759715	6,840909	1,000000	0,466667	0,543340	0,129630	0,906977	0,636364	0,088134	0,771670	
51	-2138957530	0	7	5	38	4	0,833333	0,760042	0,583333	0,222222	0,116279	0,749912	5,472727	1,000000	0,437500	0,520085	0,129630	0,883721	0,636364	0,084362	0,760042	
52	-1980683598	0	7	5	38	4	0,833333	0,760042	0,583333	0,222222	0,116279	0,749912	5,472727	1,000000	0,437500	0,520085	0,129630	0,883721	0,636364	0,084362	0,760042	
53	-1859286291	1	13	1	10	30	0,425926	0,605708	0,928571	0,259259	0,090909	0,524253	3,325581	1,000000	0,295455	0,211416	0,240741	0,909091	0,302326	0,034294	0,605708	
54	-1091241613	1	0	0	11	43	0,203704	0,500000	0,000000	0,000000	0,000000	0,000000	0,000000	0,000000	0,000000	0,000000	0,000000	1,000000	0,000000	-0,000000	0,500000	
55	1602066869	1	15	1	10	28	0,462963	0,628964	0,937500	0,296296	0,090909	0,563138	3,837209	1,000000	0,340909	0,257928	0,277778	0,909091	0,348837	0,041838	0,628964	
56	1573723654	1	13	1	10	30	0,425926	0,605708	0,928571	0,259259	0,090909	0,524253	3,325581	1,000000	0,295455	0,211416	0,240741	0,909091	0,302326	0,034294	0,605708	
57	261426711	1	13	1	10	30	0,425926	0,605708	0,928571	0,259259	0,090909	0,524253	3,325581	1,000000	0,295455	0,211416	0,240741	0,909091	0,302326	0,034294	0,605708	
58	229321832	1	13	1	10	30	0,425926	0,605708	0,928571	0,259259	0,090909	0,524253	3,325581	1,000000	0,295455	0,211416	0,240741	0,909091	0,302326	0,034294	0,605708	
59	2068657733	1	14	1	10	29	0,444444	0,617336	0,933333	0,277778	0,090909	0,544043	3,581395	1,000000	0,318182	0,234672	0,259259	0,909091	0,325581	0,038066	0,617336	
